time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
1.765026,-0.018302,0.028408
1.770027,-0.024517,0.027724
1.775027,-0.026161,0.028408
1.780027,-0.029747,0.027724
1.785027,-0.031085,0.028408
1.790028,-0.018335,0.027724
1.795028,-0.017687,0.028408
1.800028,-0.022148,0.027724
1.805028,-0.019812,0.028408
1.810029,-0.025298,0.027724
1.815029,-0.026579,0.028408
1.820029,-0.022240,0.027724
1.825029,-0.024622,0.028408
1.830029,-0.027452,0.027724
1.835030,-0.024833,0.028408
1.840030,-0.009630,0.027724
1.845030,-0.010555,0.028408
1.850030,-0.005646,0.027724
1.855031,-0.004688,0.028408
1.860031,-0.006800,0.027724
1.865031,-0.007661,0.028408
1.870031,-0.008784,0.027724
1.875032,-0.009918,0.028408
1.880032,-0.018357,0.027724
1.885032,-0.016612,0.028408
1.890032,-0.024589,0.027724
1.895033,-0.023312,0.028408
1.900033,-0.011439,0.027724
1.905033,-0.011415,0.028408
1.910033,-0.020624,0.027724
1.915033,-0.019854,0.028408
1.920034,-0.022296,0.027724
1.925034,-0.022861,0.028408
1.930034,-0.022327,0.027724
1.935034,-0.025974,0.028408
1.940035,-0.027186,0.027724
1.945035,-0.025440,0.028408
1.950035,-0.009509,0.027724
1.955035,-0.007752,0.028408
1.960036,0.008192,0.027724
1.965036,0.011521,0.028408
1.970036,0.005847,0.027724
1.975036,0.002077,0.028408
1.980036,-0.005257,0.027724
1.985037,-0.007596,0.028408
1.990037,0.001292,0.027724
1.995037,-0.000557,0.028408
2.000037,-0.010962,0.027724
2.005037,-0.010523,0.028408
2.010037,-0.014877,0.027724
2.015036,-0.014567,0.028408
2.020036,-0.031917,0.027724
2.025036,-0.030783,0.028408
2.030035,-0.035799,0.027724
2.035035,-0.034086,0.028408
2.040035,-0.035499,0.027724
2.045034,-0.033437,0.028408
2.050034,-0.042657,0.027724
2.055033,-0.042355,0.028408
2.060033,-0.052342,0.027724
2.065033,-0.051514,0.028408
2.070032,-0.046794,0.027724
2.075032,-0.049579,0.028408
2.080032,-0.047221,0.027724
2.085031,-0.044448,0.028408
2.090031,-0.067953,0.027724
2.095031,-0.069689,0.028408
2.100030,-0.053625,0.027724
2.105030,-0.053918,0.028408
2.110029,-0.053953,0.027724
2.115029,-0.057124,0.028408
2.120029,-0.038845,0.027724
2.125028,-0.042068,0.028408
2.130028,-0.048274,0.027724
2.135028,-0.051071,0.028408
2.140027,-0.057317,0.027724
2.145027,-0.058842,0.028408
2.150027,-0.053481,0.027724
2.155026,-0.056298,0.028408
2.160026,-0.061324,0.027724
2.165025,-0.060550,0.028408
2.170025,-0.049096,0.027724
2.175025,-0.053619,0.028408
2.180024,-0.050474,0.027724
2.185024,-0.050689,0.028408
2.190024,-0.047864,0.027724
2.195023,-0.048776,0.028408
2.200023,-0.047358,0.027724
2.205023,-0.044659,0.028408
2.210022,-0.041979,0.027724
2.215022,-0.042381,0.028408
2.220021,-0.038264,0.027724
2.225021,-0.037191,0.028408
2.230021,-0.022565,0.027724
2.235020,-0.022354,0.028408
2.240020,-0.029956,0.027724
2.245020,-0.030231,0.028408
2.250019,-0.026057,0.027724
2.255019,-0.024569,0.028408
2.260019,-0.031140,0.027724
2.265018,-0.031049,0.028408
2.270018,-0.026252,0.027724
2.275017,-0.027328,0.028408
2.280017,-0.019157,0.027724
2.285017,-0.015884,0.028408
2.290016,-0.024898,0.027724
2.295016,-0.019720,0.028408
2.300016,-0.012373,0.027724
2.305015,-0.011084,0.028408
2.310015,-0.015724,0.027724
2.315015,-0.014057,0.028408
2.320014,-0.001521,0.027724
2.325014,0.000101,0.028408
2.330014,0.005133,0.027724
2.335013,0.006058,0.028408
2.340013,0.008815,0.027724
2.345012,0.010272,0.028408
2.350012,-0.001054,0.027724
2.355012,-0.003372,0.028408
2.360011,-0.002204,0.027724
2.365011,-0.001490,0.028408
2.370011,0.000221,0.027724
2.375010,0.000887,0.028408
