MsgID.LOCAL_POSITION,34.6220000,-0.1163441,0.1378356,0.0243612
MsgID.LOCAL_VELOCITY,34.6220000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932826,0.0510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.8740000,0.1025165,-0.0143734,-0.0521171
MsgID.LOCAL_VELOCITY,34.8740000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3957513,37.7932816,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3957518,37.7932817,0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.1250000,0.0090416,-0.0682038,-0.0805335
MsgID.LOCAL_VELOCITY,35.1250000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957532,37.7932818,0.0930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.3750000,0.0271377,-0.1661167,-0.0937040
MsgID.LOCAL_VELOCITY,35.3750000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957517,37.7932822,0.0920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.6260000,0.0681805,-0.0356386,-0.0922955
MsgID.LOCAL_VELOCITY,35.6260000,0.0000150,-0.0000031,0.0000388
MsgID.GLOBAL_POSITION,0.0000000,-122.3957508,37.7932822,0.0710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.8760000,0.0681223,0.0451691,-0.0709863
MsgID.LOCAL_VELOCITY,35.8760000,0.0000008,0.0000021,0.0000062
MsgID.GLOBAL_HOME,0.0000000,-122.3957513,37.7932816,0.0000000
MsgID.STATE,0.0000000,True,True,1
